source,cell_id,chemistry,nominal_Ah,T_degC,c_rate_charge,c_rate_discharge,cycle,soh_pct
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1500,67.2586
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1600,65.5446
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1700,64.3391
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1800,63.1745
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1900,62.0091
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2000,61.1981
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2100,60.2596
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2200,59.0819
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2300,58.4644
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2400,57.5448
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2500,56.7671
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2600,55.91
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2700,55.1484
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2800,54.3475
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,2900,53.1883
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,3000,52.7311
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,3100,52.0533
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,3200,51.4411
wheeler2025_A123_18650_LFP,Cell1b,Graphite/LFP,1.1,50.0,0.3333,0.3333,3300,50.6116
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,0,93.2104
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,100,89.8183
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,200,87.1286
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,300,85.2825
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,400,84.1525
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,500,82.6819
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,600,81.6761
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,700,80.6405
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,800,79.6147
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,900,78.3209
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1000,77.8822
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1100,76.8523
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1200,75.6129
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1300,74.7041
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1400,74.0625
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1500,73.1069
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1600,71.9622
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1700,70.9153
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1800,69.3798
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,1900,69.0794
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2000,67.7193
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2100,67.337
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2200,65.9435
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2300,64.8177
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2400,64.3358
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2500,63.4559
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2600,62.4859
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2700,61.8156
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2800,61.1363
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,2900,60.1202
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,3000,59.3915
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,3100,58.9148
wheeler2025_A123_18650_LFP,Cell1c,Graphite/LFP,1.1,50.0,0.3333,0.3333,3200,58.1489
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,0,88.3477
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,200,82.9985
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,300,81.4927
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,400,80.1475
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,500,78.6586
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,600,78.2611
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,700,77.5125
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,800,75.9682
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,900,75.0398
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1000,74.5458
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1100,72.3419
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1200,69.6408
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1300,69.0041
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1400,67.9532
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1500,67.1588
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1600,65.2675
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1700,65.3706
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1800,62.7222
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,1900,61.4238
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2000,60.5976
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2100,59.5075
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2200,58.2784
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2300,57.5252
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2400,56.4288
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2500,55.5623
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2600,54.6099
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2700,53.7521
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2800,53.0674
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2900,52.0773
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3000,51.5664
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3100,50.255
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3200,49.5361
wheeler2025_A123_18650_LFP,Cell2a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3300,48.5997
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,0,90.2023
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,100,87.1795
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,200,84.4764
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,300,82.7952
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,400,81.3964
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,500,79.8585
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,600,79.5625
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,700,78.6736
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,800,77.1149
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,900,75.9616
wheeler2025_A123_18650_LFP,Cell2b,Graphite/LFP,1.1,50.0,0.3333,0.3333,1000,75.3973
